unit: MeV 
spectrum:
2.850284028402840231e-01 1.000000000000000048e-04
2.860285028502850269e-01 1.000000000000000048e-04
2.870286028602860307e-01 1.000000000000000048e-04
2.880287028702870344e-01 1.000000000000000048e-04
2.890288028802880382e-01 1.000000000000000048e-04
2.900289028902890420e-01 1.000000000000000048e-04
2.910290029002900458e-01 1.000000000000000048e-04
2.920291029102910496e-01 1.000000000000000048e-04
2.930292029202920534e-01 1.000000000000000048e-04
2.940293029302930572e-01 1.000000000000000048e-04
2.950294029402940055e-01 1.000000000000000048e-04
2.960295029502950093e-01 1.000000000000000048e-04
2.970296029602960131e-01 1.000000000000000048e-04
2.980297029702970169e-01 1.000000000000000048e-04
2.990298029802980206e-01 1.000000000000000048e-04
3.000299029902990244e-01 1.000000000000000048e-04
3.010300030003000282e-01 1.000000000000000048e-04
3.020301030103010320e-01 1.000000000000000048e-04
3.030302030203020358e-01 1.000000000000000048e-04
3.040303030303030396e-01 1.000000000000000048e-04
3.050304030403040434e-01 1.000000000000000048e-04
3.060305030503050472e-01 1.000000000000000048e-04
3.070306030603060510e-01 1.000000000000000048e-04
3.080307030703070548e-01 1.000000000000000048e-04
3.090308030803080586e-01 1.000000000000000048e-04
3.100309030903090068e-01 1.000000000000000048e-04
3.110310031003100106e-01 1.000000000000000048e-04
3.120311031103110144e-01 1.000000000000000048e-04
3.130312031203120182e-01 1.000000000000000048e-04
3.140313031303130220e-01 1.000000000000000048e-04
3.150314031403140258e-01 1.000000000000000048e-04
3.160315031503150296e-01 1.000000000000000048e-04
3.170316031603160334e-01 1.000000000000000048e-04
3.180317031703170372e-01 1.000000000000000048e-04
3.190318031803180410e-01 1.000000000000000048e-04
3.200319031903190448e-01 1.000000000000000048e-04
3.210320032003200486e-01 1.000000000000000048e-04
3.220321032103210523e-01 1.000000000000000048e-04
3.230322032203220561e-01 1.000000000000000048e-04
3.240323032303230599e-01 1.000000000000000048e-04
3.250324032403240082e-01 1.000000000000000048e-04
3.260325032503250120e-01 1.000000000000000048e-04
3.270326032603260158e-01 1.000000000000000048e-04
3.280327032703270196e-01 1.000000000000000048e-04
3.290328032803280234e-01 1.000000000000000048e-04
3.300329032903290272e-01 1.000000000000000048e-04
3.310330033003300310e-01 1.000000000000000048e-04
3.320331033103310348e-01 1.000000000000000048e-04
3.330332033203320385e-01 1.000000000000000048e-04
3.340333033303330423e-01 1.000000000000000048e-04
3.350334033403340461e-01 1.000000000000000048e-04
3.360335033503350499e-01 1.000000000000000048e-04
3.370336033603360537e-01 1.000000000000000048e-04
3.380337033703370575e-01 1.000000000000000048e-04
3.390338033803380613e-01 1.000000000000000048e-04
3.400339033903390096e-01 1.000000000000000048e-04
3.410340034003400134e-01 1.000000000000000048e-04
3.420341034103410172e-01 1.000000000000000048e-04
3.430342034203420210e-01 1.000000000000000048e-04
3.440343034303430247e-01 1.000000000000000048e-04
3.450344034403440285e-01 1.000000000000000048e-04
3.460345034503450323e-01 1.000000000000000048e-04
3.470346034603460361e-01 1.000000000000000048e-04
3.480347034703470399e-01 1.000000000000000048e-04
3.490348034803480437e-01 1.000000000000000048e-04
3.500349034903490475e-01 1.000000000000000048e-04
3.510350035003500513e-01 1.000000000000000048e-04
3.520351035103510551e-01 1.000000000000000048e-04
3.530352035203520589e-01 1.000000000000000048e-04
3.540353035303530627e-01 1.000000000000000048e-04
3.550354035403540109e-01 1.000000000000000048e-04
3.560355035503550147e-01 1.000000000000000048e-04
3.570356035603560185e-01 1.000000000000000048e-04
3.580357035703570223e-01 1.000000000000000048e-04
3.590358035803580261e-01 1.000000000000000048e-04
3.600359035903590299e-01 1.000000000000000048e-04
3.610360036003600337e-01 1.000000000000000048e-04
3.620361036103610375e-01 1.000000000000000048e-04
3.630362036203620413e-01 1.000000000000000048e-04
3.640363036303630451e-01 1.000000000000000048e-04
3.650364036403640489e-01 1.000000000000000048e-04
3.660365036503650527e-01 1.000000000000000048e-04
3.670366036603660564e-01 1.000000000000000048e-04
3.680367036703670602e-01 1.000000000000000048e-04
3.690368036803680640e-01 1.000000000000000048e-04
3.700369036903690123e-01 1.000000000000000048e-04
3.710370037003700161e-01 1.000000000000000048e-04
