unit: GeV 
spectrum:
3.117901179011790119e-02 2.541553685176077337e+01
3.127891278912789397e-02 2.531564070962866708e+01
3.137881378813787980e-02 2.521639550983110212e+01
3.147871478714787258e-02 2.511779504311134303e+01
3.157861578615786535e-02 2.501983317879544444e+01
3.167851678516785119e-02 2.492250386355316039e+01
3.177841778417784396e-02 2.482580112018215601e+01
3.187831878318782980e-02 2.472971904641520879e+01
3.197821978219782257e-02 2.463425181374966044e+01
3.207812078120781535e-02 2.453939366629881391e+01
3.217802178021780118e-02 2.444513891966467511e+01
3.227792277922779396e-02 2.435148195983164499e+01
3.237782377823778673e-02 2.425841724208071781e+01
3.247772477724777257e-02 2.416593928992370621e+01
3.257762577625776534e-02 2.407404269405700603e+01
3.267752677526775118e-02 2.398272211133469511e+01
3.277742777427774395e-02 2.389197226376026251e+01
3.287732877328773673e-02 2.380178793749682953e+01
3.297722977229772257e-02 2.371216398189531205e+01
3.307713077130771534e-02 2.362309530854016870e+01
3.317703177031770118e-02 2.353457689031247213e+01
3.327693276932769395e-02 2.344660376046975614e+01
3.337683376833768673e-02 2.335917101174247890e+01
3.347673476734767256e-02 2.327227379544661545e+01
3.357663576635766534e-02 2.318590732061206339e+01
3.367653676536765811e-02 2.310006685312664132e+01
3.377643776437764395e-02 2.301474771489523974e+01
3.387633876338763672e-02 2.292994528301376889e+01
3.397623976239762256e-02 2.284565498895788238e+01
3.407614076140761533e-02 2.276187231778571984e+01
3.417604176041760811e-02 2.267859280735483551e+01
3.427594275942759394e-02 2.259581204755273731e+01
3.437584375843758672e-02 2.251352567954078765e+01
3.447574475744757255e-02 2.243172939501140917e+01
3.457564575645756533e-02 2.235041893545797365e+01
3.467554675546755810e-02 2.226959009145746293e+01
3.477544775447754394e-02 2.218923870196544712e+01
3.487534875348753671e-02 2.210936065362311354e+01
3.497524975249752949e-02 2.202995188007630745e+01
3.507515075150751532e-02 2.195100836130605870e+01
3.517505175051750810e-02 2.187252612297064047e+01
3.527495274952749393e-02 2.179450123575874798e+01
3.537485374853748671e-02 2.171692981475362316e+01
3.547475474754747948e-02 2.163980801880799021e+01
3.557465574655746532e-02 2.156313204992943255e+01
3.567455674556745809e-02 2.148689815267617931e+01
3.577445774457744393e-02 2.141110261356298139e+01
3.587435874358743670e-02 2.133574176047687487e+01
3.597425974259742948e-02 2.126081196210276403e+01
3.607416074160741531e-02 2.118630962735849010e+01
3.617406174061740809e-02 2.111223120483925442e+01
3.627396273962740086e-02 2.103857318227125006e+01
3.637386373863738670e-02 2.096533208597431752e+01
3.647376473764737947e-02 2.089250448033334351e+01
3.657366573665736531e-02 2.082008696727845631e+01
3.667356673566735809e-02 2.074807618577356649e+01
3.677346773467735086e-02 2.067646881131337366e+01
3.687336873368733670e-02 2.060526155542847704e+01
3.697326973269732947e-02 2.053445116519851155e+01
3.707317073170731531e-02 2.046403442277322426e+01
3.717307173071730808e-02 2.039400814490114300e+01
3.727297272972730086e-02 2.032436918246598623e+01
3.737287372873728669e-02 2.025511442003037388e+01
3.747277472774727947e-02 2.018624077538688510e+01
3.757267572675727224e-02 2.011774519911631387e+01
3.767257672576725808e-02 2.004962467415290917e+01
3.777247772477725085e-02 1.998187621535649328e+01
3.787237872378723669e-02 1.991449686909143679e+01
3.797227972279722946e-02 1.984748371281218837e+01
3.807218072180722224e-02 1.978083385465538413e+01
3.817208172081720807e-02 1.971454443303835191e+01
