#ZVView-data-copy:  10-Jul-2025 09:26:47
#=======================================
#
#name:   ENDF/B-VIII.1: XE-132(N,G)XE-133
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2792
#data...
#            X            Y
#          MeV        barns
   0.000130896    0.0259039 
    0.00013152    0.0241501 
   0.000132143    0.0225847 
   0.000132766    0.0211816 
   0.000133389    0.0199193 
   0.000134013    0.0187793 
   0.000134623    0.0177677 
   0.000135233    0.0168462 
   0.000135864    0.0159777 
   0.000136535    0.0151362 
   0.000137206      0.01437 
   0.000137877    0.0136704 
   0.000138771    0.0128282 
   0.000139709    0.0120437 
   0.000140691    0.0113092 
   0.000141653    0.0106686 
   0.000142594    0.0101053 
   0.000143527   0.00960104 
   0.000144451   0.00914778 
   0.000145376   0.00873518 
   0.000146762   0.00818367 
   0.000147798   0.00781467 
   0.000149293   0.00734008 
   0.000150671     0.006954 
   0.000152014   0.00661831 
   0.000153537   0.00627983 
   0.000155158   0.00595981 
   0.000156794   0.00567321 
   0.000158283    0.0054386 
   0.000159899   0.00521041 
   0.000162155   0.00493035 
   0.000164443   0.00468329 
   0.000166763   0.00446394 
   0.000169115   0.00426961 
   0.000171501   0.00409574 
   0.000173921   0.00394044 
   0.000177537   0.00373954 
   0.000180523   0.00359817 
   0.000184506   0.00343585 
   0.000188074   0.00331168 
   0.000191933   0.00319703 
   0.000195792   0.00309729 
   0.000200937   0.00298556 
   0.000206082   0.00289296 
   0.000211937   0.00280659 
    0.00021796   0.00273443 
   0.000225734   0.00266134 
   0.000232655   0.00261243 
   0.000241583    0.0025681 
   0.000251347   0.00253814 
   0.000260812   0.00252517 
   0.000264077    0.0025241 
   0.000276308   0.00253487 
   0.000287546   0.00256249 
   0.000300217   0.00261308 
   0.000311298    0.0026745 
   0.000322642   0.00275407 
    0.00033415     0.002853 
   0.000346053   0.00297601 
   0.000355588   0.00309101 
   0.000366388   0.00324165 
   0.000377361   0.00341828 
   0.000386174   0.00358048 
   0.000394987   0.00376296 
     0.0004038   0.00396842 
   0.000411056   0.00415793 
   0.000418312   0.00436573 
